ID,Quote,Score
1,hello,-6.099111557006836
1,hello,-6.099111557006836
1,hello,-6.099111557006836
1,hello,-6.099111557006836
1,hello,-6.099111557006836
1,hello,-6.099111557006836
1,hello1,-8.198891639709473
1,helloone,-8.198891639709473
1,hello,-6.099111557006836
1,helloone,-8.198891639709473
2,hello two,-10.20234489440918
2,hello two,-10.20234489440918
2,hello two,-10.20234489440918
2,hello two,-10.20234489440918
1,hello two,-10.20234489440918
1,hello two,-10.20234489440918
1,hello three,-10.390893936157227
2,hello five,-10.613844871520996
1,hello four,-10.536184310913086
1,s,-3.1366710662841797
1,s,-3.1366710662841797
1,POOM IS GOOD,-16.67650604248047
1,POOM IS GOOD,-16.67650604248047
1,a,-2.232165575027466
1,shoot,-5.277873992919922
1,shoot,-5.277873992919922
1,poom,-8.078689575195312
1,poom,-8.078689575195312
1,poom,-8.078689575195312
1,Hello world,-10.357397079467773
